date UTC since epoch [s],Voltage U[V],master measured U[bit],slave measured U[bit]
1649850130.7848084,59.5,3322,3333
1649850138.9701478,59.5,3323,3333
1649850147.1748922,59.5,3323,3333
1649850155.3595018,59.5,3323,3333
1649850163.5542395,59.5,3323,3332
1649850171.7435133,59.5,3324,3332
1649850179.9444973,59.5,3324,3333
1649850188.1315768,59.5,3324,3333
1649850196.3271613,59.5,3323,3333
1649850204.5155604,59.5,3323,3333
1649850212.7010722,59.5,3324,3334
1649850220.9032998,59.5,3324,3333
1649850229.0829256,59.5,3324,3333
1649850237.7926753,59.5,3324,3333
1649850245.9869952,59.5,3325,3333
1649850254.1747406,59.5,3324,3333
1649850262.3704202,59.5,3324,3333
1649850270.556513,59.5,3324,3333
1649850278.7577708,59.5,3325,3333
1649850286.942638,59.5,3324,3333
1649850295.1393065,59.5,3324,3333
1649850303.3269737,59.5,3325,3332
1649850311.5134404,59.5,3325,3333
1649850319.7168841,59.5,3324,3333
1649850327.9053724,59.5,3324,3333
1649850336.608762,59.5,3324,3333
1649850344.806037,59.5,3325,3333
1649850352.9910107,59.5,3325,3333
1649850361.1925218,59.5,3324,3332
1649850369.3886657,59.5,3324,3334
1649850377.5701544,59.5,3324,3333
1649850385.7550468,59.5,3324,3333
1649850393.9571166,59.5,3325,3333
1649850402.1432104,59.5,3324,3334
1649850410.3454669,59.5,3324,3333
1649850418.5266767,59.5,3324,3333
1649850426.7133863,59.5,3324,3333
1649850434.9189258,59.5,3325,3333
1649850443.101509,59.5,3324,3333
1649850451.2899919,59.5,3324,3333
1649850459.4939551,59.5,3324,3333
1649850467.6800902,59.5,3324,3333
1649850475.8772104,59.5,3324,3333
1649850484.0636659,59.5,3324,3333
1649850492.251425,59.5,3324,3333
1649850500.4539812,59.5,3324,3333
1649850508.635821,59.5,3324,3333
1649850516.8392787,59.5,3324,3333
1649850525.0265334,59.5,3325,3333
1649850533.2233853,59.5,3325,3333
1649850541.4120057,59.5,3324,3333
1649850549.598595,59.5,3324,3333
1649850557.785828,59.5,3325,3333
1649850565.9839413,59.5,3324,3333
1649850574.1710303,59.5,3324,3333
1649850582.3613894,59.5,3324,3333
1649850590.5677588,59.5,3324,3333
1649850598.7529385,59.5,3324,3333
1649850606.9416938,59.5,3324,3333
1649850615.1327288,59.5,3325,3332
1649850623.3332574,59.5,3325,3333
1649850631.5242257,59.5,3324,3334
1649850639.7142496,59.5,3324,3333
1649850647.9108393,59.5,3324,3333
1649850656.0955634,59.5,3324,3333
1649850664.2940266,59.5,3324,3333
1649850672.4839323,59.5,3324,3334
1649850680.6684575,59.5,3324,3333
1649850688.8742783,59.5,3324,3333
1649850697.0497277,59.5,3325,3333
1649850705.7670758,59.5,3324,3333
1649850713.9587188,59.5,3325,3333
1649850722.149777,59.5,3324,3333
1649850730.3410432,59.5,3325,3333
1649850738.5260468,59.5,3324,3333
1649850746.7164092,59.5,3324,3333
1649850754.906771,59.5,3324,3333
1649850763.1026707,59.5,3324,3333
1649850771.3685498,59.5,3325,3333
1649850780.006785,59.5,3325,3333
1649850788.6996522,59.5,3324,3332
1649850797.4123118,59.5,3325,3333
1649850806.124054,59.5,3324,3333
1649850814.84175,59.5,3324,3333
1649850823.003627,59.5,3324,3333
1649850831.2251313,59.5,3324,3333
1649850839.4098852,59.5,3325,3333
1649850847.5861578,59.5,3324,3333
1649850855.7771456,59.5,3324,3333
1649850863.9712286,59.5,3324,3333
1649850872.6687946,59.5,3325,3333
1649850880.8601375,59.5,3324,3333
1649850889.058313,59.5,3324,3333
1649850897.2592494,59.5,3324,3334
1649850905.4434917,59.5,3324,3333
1649850913.635797,59.5,3325,3333
1649850921.826491,59.5,3324,3334
1649850930.5328476,59.5,3324,3333
1649850938.7174711,59.5,3324,3333
1649850946.909951,59.5,3325,3333
1649850955.1016214,59.5,3325,3333
1649850963.8034678,59.5,3325,3332
1649850971.9950387,59.5,3324,3334
1649850980.1878715,59.5,3325,3333
1649850988.3876503,59.5,3325,3333
1649850996.5791552,59.5,3325,3333
1649851004.7704167,59.5,3324,3333
1649851012.9619315,59.5,3324,3333
1649851021.148036,59.5,3324,3333
1649851029.3396933,59.5,3325,3333
1649851037.5314867,59.5,3324,3333
1649851045.7310977,59.5,3324,3333
1649851053.9221213,59.5,3325,3334
1649851062.1155488,59.5,3325,3333
1649851070.298873,59.5,3324,3333
1649851078.513948,59.5,3324,3333
1649851086.6905408,59.5,3324,3333
1649851094.8815541,59.5,3325,3333
1649851103.0733285,59.5,3325,3333
1649851111.2600315,59.5,3324,3334
1649851119.9703195,59.5,3325,3333
1649851128.157734,59.5,3325,3333
1649851136.3582435,59.5,3324,3333
1649851144.5411856,59.5,3324,3333
1649851152.7354386,59.5,3324,3333
1649851160.9232156,59.5,3323,3333
1649851169.1350095,59.5,3325,3333
1649851177.3182797,59.5,3325,3333
1649851185.5065517,59.5,3325,3333
1649851193.6962273,59.5,3325,3333
1649851201.8905363,59.5,3325,3333
