date UTC since epoch [s],Voltage U[V],master measured U[bit],slave measured U[bit]
1649921938.9762,59.5,3322,3333
1649921948.1923416,59.5,3323,3333
1649921956.8956635,59.5,3323,3333
1649921966.1157713,59.5,3323,3333
1649921975.3253155,59.5,3323,3333
1649921984.0365179,59.5,3324,3333
1649921993.245615,59.5,3324,3333
1649922001.4485402,59.5,3323,3333
1649922010.656586,59.5,3324,3333
1649922019.8767865,59.5,3324,3332
1649922029.1336486,59.5,3325,3333
1649922037.7964506,59.5,3324,3333
1649922046.4961529,59.5,3324,3333
1649922055.7159667,59.5,3324,3334
1649922064.939633,59.5,3324,3333
1649922073.636083,59.5,3324,3333
1649922082.8477314,59.5,3324,3333
1649922091.556383,59.5,3325,3333
1649922100.7664614,59.5,3324,3333
1649922109.98669,59.5,3324,3333
1649922118.6908832,59.5,3324,3333
1649922127.8988388,59.5,3324,3333
1649922136.6065679,59.5,3325,3333
1649922145.3165007,59.5,3324,3333
1649922154.5272636,59.5,3324,3333
1649922163.2427828,59.5,3324,3333
1649922172.4480855,59.5,3324,3333
1649922181.15728,59.5,3324,3333
1649922190.3672738,59.5,3324,3332
1649922199.076103,59.5,3324,3333
1649922208.2891598,59.5,3324,3333
1649922216.9954257,59.5,3324,3334
1649922226.2089963,59.5,3324,3333
1649922234.9189515,59.5,3324,3333
1649922244.1389372,59.5,3324,3332
1649922252.836825,59.5,3324,3333
1649922261.017366,59.5,3324,3333
1649922270.2371595,59.5,3324,3333
1649922278.946882,59.5,3324,3333
1649922287.6568136,59.5,3324,3333
1649922296.866979,59.5,3324,3333
1649922306.0776823,59.5,3324,3333
1649922314.7878513,59.5,3324,3334
1649922323.997638,59.5,3324,3334
1649922332.7071567,59.5,3324,3333
1649922341.9182792,59.5,3325,3333
1649922350.628589,59.5,3325,3333
1649922359.327274,59.5,3325,3333
1649922368.0366457,59.5,3324,3333
1649922377.2531316,59.5,3324,3333
1649922385.958467,59.5,3324,3333
1649922395.1686165,59.5,3324,3333
1649922403.8773215,59.5,3324,3333
