date UTC since epoch [s],Voltage U[V],master measured U[bit],slave measured U[bit]
1650017182.8968089,59.5,559,558
1650017184.9455965,59.5,559,3333
1650017186.9936066,59.5,3323,3333
1650017189.0410588,59.5,3324,3333
1650017191.089355,59.5,3323,3333
1650017193.1369755,59.5,3323,3334
1650017195.1856866,59.5,3324,3333
1650017197.233409,59.5,3324,3333
1650017199.2815087,59.5,3323,3333
1650017201.3296282,59.5,3323,3333
1650017203.3771489,59.5,3324,3334
1650017205.426374,59.5,3325,3334
1650017207.4729276,59.5,3324,3334
1650017209.5217974,59.5,3324,3333
1650017211.569747,59.5,3324,3334
1650017213.618711,59.5,3324,3333
1650017215.6657054,59.5,3324,3333
1650017217.7133577,59.5,3324,3333
1650017219.7612333,59.5,3325,3333
1650017221.8092263,59.5,3324,3333
1650017223.8572347,59.5,3323,3333
1650017225.9051611,59.5,3324,3334
1650017227.9539473,59.5,3325,3333
1650017230.0011978,59.5,3324,3333
1650017232.0487993,59.5,3325,3334
1650017234.0979555,59.5,3324,3333
1650017236.657945,59.5,3324,3333
1650017238.7051976,59.5,3324,3334
1650017240.7561555,59.5,3324,3334
1650017242.8016033,59.5,3324,3333
1650017244.8493676,59.5,3324,3334
1650017246.8972316,59.5,3325,3333
1650017248.9451895,59.5,3325,3333
1650017250.9932039,59.5,3325,3333
1650017253.041283,59.5,3324,3333
1650017255.0893292,59.5,3324,3334
1650017257.1395824,59.5,3324,3333
1650017259.1852753,59.5,3324,3334
1650017261.2336617,59.5,3325,3333
1650017263.324896,59.5,3324,3334
1650017265.8409076,59.5,3325,3333
1650017267.8888226,59.5,3324,3333
1650017269.937152,59.5,3325,3333
1650017271.9853601,59.5,3324,3333
1650017274.0327878,59.5,3324,3333
1650017276.0814312,59.5,3324,3333
1650017278.129375,59.5,3325,3333
1650017280.1772008,59.5,3324,3333
1650017282.2402184,59.5,3324,3333
1650017284.7855604,59.5,3325,3334
1650017286.8332732,59.5,3324,3333
1650017288.8814666,59.5,3324,3333
1650017290.9288025,59.5,3325,3333
1650017292.9781663,59.5,3324,3334
1650017295.0250676,59.5,3325,3334
1650017297.073,59.5,3325,3333
1650017299.1211276,59.5,3324,3333
1650017301.1691573,59.5,3325,3333
1650017303.217056,59.5,3324,3333
1650017305.2650533,59.5,3325,3333
1650017307.3131752,59.5,3325,3334
1650017309.3607635,59.5,3325,3334
1650017311.4091637,59.5,3324,3333
1650017313.4597611,59.5,3324,3333
1650017315.5052938,59.5,3325,3334
1650017317.553813,59.5,3325,3333
1650017320.113177,59.5,3324,3334
1650017322.1611779,59.5,3325,3333
1650017324.7211993,59.5,3324,3333
1650017326.7694538,59.5,3325,3334
1650017328.8173678,59.5,3325,3334
1650017330.8652723,59.5,3325,3334
1650017332.9205556,59.5,3326,3334
1650017334.961143,59.5,3325,3333
1650017337.009165,59.5,3325,3333
1650017339.0572243,59.5,3325,3334
1650017341.1044712,59.5,3325,3333
1650017343.1534197,59.5,3325,3334
1650017345.2011743,59.5,3324,3333
1650017347.2491798,59.5,3324,3333
1650017349.2971551,59.5,3324,3332
1650017351.345148,59.5,3324,3333
1650017353.393118,59.5,3325,3333
1650017355.4411278,59.5,3324,3333
1650017357.4893215,59.5,3324,3334
1650017359.5366209,59.5,3324,3333
1650017361.58822,59.5,3325,3333
1650017363.6335173,59.5,3325,3333
1650017365.681607,59.5,3325,3333
1650017367.7306957,59.5,3325,3333
1650017369.7805738,59.5,3325,3333
1650017371.8260286,59.5,3325,3333
1650017373.8731802,59.5,3325,3333
1650017375.921252,59.5,3325,3333
1650017377.969048,59.5,3325,3333
1650017380.0171292,59.5,3325,3334
1650017382.0654924,59.5,3325,3333
1650017384.1130807,59.5,3324,3334
1650017386.161392,59.5,3324,3334
1650017388.2092485,59.5,3325,3333
1650017390.2565608,59.5,3325,3333
1650017392.3043773,59.5,3325,3334
