date UTC since epoch [s],Voltage U[V],Voltage U[bit],master measured U[bit],slave measured U[bit]
1650021384.0157533,59.5,1053,3323,3333
1650021386.0637453,59.5,1053,3324,3333
1650021388.1112452,59.5,1053,3324,3333
1650021390.1666305,59.5,1053,3324,3333
1650021392.2073963,59.5,1053,3323,3333
1650021394.2567472,59.5,1053,3324,3333
1650021396.3028364,59.5,1053,3323,3333
1650021398.351653,59.5,1053,3323,3333
1650021400.3989067,59.5,1053,3324,3333
1650021402.4474876,59.5,1053,3324,3334
1650021404.4954858,59.5,1053,3323,3333
1650021406.5435274,59.5,1053,3323,3333
1650021409.1032784,59.5,1053,3323,3333
1650021411.151658,59.5,1053,3323,3333
1650021413.1998923,59.5,1053,3324,3333
1650021415.2468023,59.5,1053,3324,3333
1650021417.2950196,59.5,1053,3324,3333
1650021419.3434284,59.5,1053,3325,3333
1650021421.40097,59.5,1053,3324,3334
1650021423.4418254,59.5,1053,3324,3333
1650021425.9990408,59.5,1053,3323,3333
1650021428.047454,59.5,1053,3324,3333
1650021430.0953772,59.5,1053,3324,3333
1650021432.143844,59.5,1053,3324,3333
1650021434.1982768,59.5,1053,3324,3333
1650021436.2409494,59.5,1053,3324,3333
1650021439.3117967,59.5,1053,3324,3333
1650021441.3594303,59.5,1053,3324,3333
1650021443.4074562,59.5,1053,3324,3333
1650021445.4556675,59.5,1053,3324,3334
1650021447.5037086,59.5,1053,3325,3334
1650021449.5514305,59.5,1053,3324,3333
1650021451.5995371,59.5,1053,3324,3333
1650021453.647805,59.5,1053,3323,3333
1650021455.6955955,59.5,1053,3324,3334
1650021457.7451632,59.5,1053,3324,3333
1650021459.791269,59.5,1053,3323,3333
1650021461.840097,59.5,1053,3324,3333
1650021463.8874016,59.5,1053,3324,3333
1650021465.9353988,59.5,1053,3324,3333
1650021467.9836013,59.5,1053,3325,3333
1650021470.031266,59.5,1053,3324,3333
1650021472.0805478,59.5,1053,3324,3333
1650021474.127741,59.5,1053,3324,3334
1650021476.1752906,59.5,1053,3324,3333
1650021478.2233841,59.5,1053,3324,3333
1650021480.2711444,59.5,1053,3325,3333
1650021482.3190162,59.5,1053,3324,3333
1650021484.367193,59.5,1053,3324,3334
1650021486.4153416,59.5,1053,3325,3333
1650021488.4635012,59.5,1053,3325,3333
1650021490.5115542,59.5,1053,3324,3333
1650021492.559603,59.5,1053,3324,3334
1650021494.607112,59.5,1053,3325,3334
1650021496.6556113,59.5,1053,3324,3333
1650021498.7030447,59.5,1053,3324,3334
1650021500.7509742,59.5,1053,3325,3334
1650021502.7986486,59.5,1053,3325,3334
1650021504.8471692,59.5,1053,3324,3333
1650021506.895318,59.5,1053,3325,3333
1650021508.943306,59.5,1053,3324,3333
1650021510.990995,59.5,1053,3324,3333
1650021513.0413454,59.5,1053,3324,3333
1650021515.0875635,59.5,1053,3324,3334
1650021517.1351585,59.5,1053,3324,3334
1650021519.1832976,59.5,1053,3325,3333
1650021521.2311487,59.5,1053,3325,3333
1650021523.278973,59.5,1053,3325,3333
1650021525.3271236,59.5,1053,3324,3334
1650021527.3752205,59.5,1053,3324,3333
1650021529.4233308,59.5,1053,3324,3333
1650021531.4712033,59.5,1053,3324,3333
1650021533.5193977,59.5,1053,3325,3333
1650021535.567245,59.5,1053,3325,3334
1650021537.6146204,59.5,1053,3324,3333
1650021539.6634808,59.5,1053,3324,3333
1650021541.7111886,59.5,1053,3325,3333
1650021543.75899,59.5,1053,3324,3333
1650021545.8075736,59.5,1053,3325,3333
1650021547.8555171,59.5,1053,3324,3333
1650021549.9035103,59.5,1053,3324,3333
1650021551.9526744,59.5,1053,3324,3334
1650021553.9993625,59.5,1053,3325,3333
1650021556.0471253,59.5,1053,3325,3333
1650021558.0954535,59.5,1053,3324,3333
1650021560.143093,59.5,1053,3324,3333
1650021562.1912873,59.5,1053,3324,3333
1650021564.2388067,59.5,1053,3325,3332
1650021566.2872124,59.5,1053,3325,3333
1650021568.3354053,59.5,1053,3324,3333
1650021570.3832486,59.5,1053,3324,3333
1650021572.4322114,59.5,1053,3324,3333
1650021574.4790835,59.5,1053,3324,3334
1650021576.526839,59.5,1053,3324,3333
1650021578.5752926,59.5,1053,3325,3334
1650021580.6232715,59.5,1053,3324,3333
1650021582.6711764,59.5,1053,3324,3333
1650021584.7193222,59.5,1053,3324,3333
1650021586.766817,59.5,1053,3324,3333
1650021588.8150177,59.5,1053,3324,3333
1650021590.8634322,59.5,1053,3324,3333
1650021592.9105682,59.5,1053,3324,3333
1650021594.9591644,59.5,1053,3324,3333
1650021597.007308,59.5,1053,3325,3333
1650021599.0681233,59.5,1053,3325,3333
1650021601.10245,59.5,1053,3325,3332
