master set U[V],master set U[bit],master measured U[bit],slave set U[V],slave set U[bit],slave measured U[bit]
53.0,3768,559,53.0,3768,558
53.1,3741,559,53.1,3741,557
53.2,3714,2766,53.2,3714,2778
53.300000000000004,3687,2772,53.300000000000004,3687,2784
53.400000000000006,3659,2778,53.400000000000006,3659,2790
53.50000000000001,3632,2784,53.50000000000001,3632,2795
53.60000000000001,3605,2790,53.60000000000001,3605,2801
53.70000000000001,3578,2796,53.70000000000001,3578,2806
53.80000000000001,3551,2801,53.80000000000001,3551,2812
53.90000000000001,3524,2807,53.90000000000001,3524,2818
54.000000000000014,3497,2812,54.000000000000014,3497,2823
54.100000000000016,3470,2819,54.100000000000016,3470,2829
54.20000000000002,3442,2824,54.20000000000002,3442,2835
54.30000000000002,3415,2830,54.30000000000002,3415,2841
54.40000000000002,3388,2835,54.40000000000002,3388,2846
54.50000000000002,3361,2841,54.50000000000002,3361,2852
54.60000000000002,3334,2847,54.60000000000002,3334,2858
54.700000000000024,3307,2852,54.700000000000024,3307,2863
54.800000000000026,3280,2858,54.800000000000026,3280,2869
54.90000000000003,3253,2864,54.90000000000003,3253,2874
55.00000000000003,3225,2870,55.00000000000003,3225,2879
55.10000000000003,3198,2875,55.10000000000003,3198,2885
55.20000000000003,3171,2881,55.20000000000003,3171,2891
55.30000000000003,3144,2887,55.30000000000003,3144,2897
55.400000000000034,3117,2893,55.400000000000034,3117,2903
55.500000000000036,3090,2898,55.500000000000036,3090,2909
55.60000000000004,3063,2904,55.60000000000004,3063,2914
55.70000000000004,3036,2909,55.70000000000004,3036,2919
55.80000000000004,3009,2915,55.80000000000004,3009,2925
55.90000000000004,2981,2921,55.90000000000004,2981,2932
56.00000000000004,2954,2926,56.00000000000004,2954,2937
56.100000000000044,2927,2932,56.100000000000044,2927,2942
56.200000000000045,2900,2938,56.200000000000045,2900,2947
56.30000000000005,2873,2943,56.30000000000005,2873,2954
56.40000000000005,2846,2949,56.40000000000005,2846,2959
56.50000000000005,2819,2955,56.50000000000005,2819,2965
56.60000000000005,2792,2960,56.60000000000005,2792,2971
56.70000000000005,2764,2967,56.70000000000005,2764,2976
56.800000000000054,2737,2972,56.800000000000054,2737,2982
56.900000000000055,2710,2977,56.900000000000055,2710,2987
57.00000000000006,2683,2983,57.00000000000006,2683,2993
57.10000000000006,2656,2989,57.10000000000006,2656,2998
57.20000000000006,2629,2995,57.20000000000006,2629,3004
57.30000000000006,2602,3000,57.30000000000006,2602,3010
57.40000000000006,2575,3005,57.40000000000006,2575,3016
57.500000000000064,2547,3011,57.500000000000064,2547,3021
57.600000000000065,2520,3018,57.600000000000065,2520,3027
57.70000000000007,2493,3023,57.70000000000007,2493,3032
57.80000000000007,2466,3029,57.80000000000007,2466,3039
57.90000000000007,2439,3034,57.90000000000007,2439,3043
58.00000000000007,2412,3040,58.00000000000007,2412,3050
58.10000000000007,2385,3045,58.10000000000007,2385,3055
58.200000000000074,2358,3051,58.200000000000074,2358,3061
58.300000000000075,2331,3056,58.300000000000075,2331,3066
58.40000000000008,2303,3062,58.40000000000008,2303,3072
58.50000000000008,2276,3072,58.50000000000008,2276,3078
58.60000000000008,2249,3074,58.60000000000008,2249,3084
58.70000000000008,2222,3080,58.70000000000008,2222,3089
58.80000000000008,2195,3086,58.80000000000008,2195,3094
58.900000000000084,2168,3091,58.900000000000084,2168,3100
59.000000000000085,2141,3097,59.000000000000085,2141,3106
59.10000000000009,2114,3102,59.10000000000009,2114,3112
59.20000000000009,2086,3108,59.20000000000009,2086,3118
59.30000000000009,2059,3114,59.30000000000009,2059,3124
59.40000000000009,2032,3120,59.40000000000009,2032,3129
59.50000000000009,2005,3126,59.50000000000009,2005,3134
59.600000000000094,1978,3131,59.600000000000094,1978,3140
